"date","num_casos","Population2020","daily_cases_per100k","daily_cases_per100k_mavg","location_google","provincia_iso"
2020-07-15,1886,47450795,3.97464362820475,2.6749514192243,"Spain total","ES"
2020-07-16,1753,47450795,3.69435327690506,2.91158752676626,"Spain total","ES"
2020-07-17,2080,47450795,4.38348820077725,3.1819427743142,"Spain total","ES"
2020-07-18,1844,47450795,3.88613088568906,3.46072780686363,"Spain total","ES"
2020-07-19,1646,47450795,3.46885652811507,3.68291285440303,"Spain total","ES"
2020-07-20,2417,47450795,5.09369758715318,3.97283724570443,"Spain total","ES"
2020-07-21,2429,47450795,5.11898694215766,4.23145100700029,"Spain total","ES"
2020-07-22,2496,47450795,5.2601858409327,4.41509989453285,"Spain total","ES"
2020-07-23,2312,47450795,4.87241573086394,4.58339453081269,"Spain total","ES"
2020-07-24,2594,47450795,5.46671557346932,4.73814129834013,"Spain total","ES"
2020-07-25,2140,47450795,4.50993497579967,4.82725616835593,"Spain total","ES"
2020-07-26,1959,47450795,4.12848720448203,4.92148912212264,"Spain total","ES"
2020-07-27,3101,47450795,6.53519082240877,5.12741672715916,"Spain total","ES"
2020-07-28,3207,47450795,6.75858012494838,5.36164432470069,"Spain total","ES"
2020-07-29,3298,47450795,6.95035773373239,5.6030974522435,"Spain total","ES"
2020-07-30,3178,47450795,6.69746418368754,5.86381865978973,"Spain total","ES"
2020-07-31,3646,47450795,7.68374902886242,6.18053772484589,"Spain total","ES"
2020-08-01,3662,47450795,7.7174681688684,6.63875675242713,"Spain total","ES"
2020-08-02,2839,47450795,5.98303990481087,6.90369285247411,"Spain total","ES"
2020-08-03,4182,47450795,8.81334021906271,7.22914276628182,"Spain total","ES"
2020-08-04,4680,47450795,9.86284845174881,7.67260967011045,"Spain total","ES"
2020-08-05,4617,47450795,9.73007933797527,8.06971275643086,"Spain total","ES"
2020-08-06,4534,47450795,9.55516129919425,8.47795520150325,"Spain total","ES"
2020-08-07,5320,47450795,11.211614051988,8.98193591909261,"Spain total","ES"
2020-08-08,4267,47450795,8.99247315034448,9.16407948787491,"Spain total","ES"
2020-08-09,4071,47450795,8.57941368527124,9.53499002794067,"Spain total","ES"
2020-08-10,6120,47450795,12.8975710522869,10.1184515755441,"Spain total","ES"
2020-08-11,6417,47450795,13.5234825886479,10.6413993093869,"Spain total","ES"
2020-08-12,6464,47450795,13.6225325624154,11.1974640557355,"Spain total","ES"
2020-08-13,6228,47450795,13.1251752473273,11.7074660483259,"Spain total","ES"
2020-08-14,7045,47450795,14.8469588338826,12.226801017168,"Spain total","ES"
2020-08-15,5690,47450795,11.9913691646262,12.6552147334939,"Spain total","ES"
2020-08-16,4967,47450795,10.4676855256061,12.9249678535418,"Spain total","ES"
2020-08-17,7105,47450795,14.973405608905,13.2215156473443,"Spain total","ES"
2020-08-18,8356,47450795,17.6098208681224,13.8052782586978,"Spain total","ES"
2020-08-19,8286,47450795,17.4622996305963,14.3538164112951,"Spain total","ES"
2020-08-20,8290,47450795,17.4707294155978,14.9746098639052,"Spain total","ES"
2020-08-21,9458,47450795,19.9322266360342,15.701076692784,"Spain total","ES"
2020-08-22,6627,47450795,13.9660463012264,15.983173426584,"Spain total","ES"
2020-08-23,5922,47450795,12.4802966947129,16.270689307885,"Spain total","ES"
2020-08-24,8223,47450795,17.3295305168227,16.6072785804447,"Spain total","ES"
2020-08-25,10087,47450795,21.2578103275193,17.1284199317871,"Spain total","ES"
2020-08-26,9629,47450795,20.2925999448481,17.5327485481088,"Spain total","ES"
2020-08-27,9278,47450795,19.552886310967,17.8301995331615,"Spain total","ES"
2020-08-28,10726,47450795,22.6044684815081,18.2119483682292,"Spain total","ES"
2020-08-29,7333,47450795,15.4539033539902,18.4244993757669,"Spain total","ES"
2020-08-30,6401,47450795,13.4897634486419,18.5687089120425,"Spain total","ES"
2020-08-31,8417,47450795,17.7383750893952,18.6271152795528,"Spain total","ES"
2020-09-01,11303,47450795,23.8204649679737,18.9932087996177,"Spain total","ES"
2020-09-02,10416,47450795,21.9511601438922,19.2301459709097,"Spain total","ES"
2020-09-03,10278,47450795,21.6603325613406,19.5312097209631,"Spain total","ES"
2020-09-04,11325,47450795,23.8668287854819,19.7115469072451,"Spain total","ES"
2020-09-05,8715,47450795,18.3663940720066,20.1276170098189,"Spain total","ES"
2020-09-06,7419,47450795,15.6351437315223,20.4340999073732,"Spain total","ES"
2020-09-07,9530,47450795,20.0839627660611,20.7691838611826,"Spain total","ES"
2020-09-08,11377,47450795,23.9764159905013,20.7914625786866,"Spain total","ES"
2020-09-09,11779,47450795,24.8236093831515,21.2018124700093,"Spain total","ES"
2020-09-10,11467,47450795,24.166086153035,21.5597772688228,"Spain total","ES"
2020-09-11,12058,47450795,25.4115868870058,21.7804569976119,"Spain total","ES"
2020-09-12,9428,47450795,19.869003248523,21.9951154514,"Spain total","ES"
2020-09-13,8149,47450795,17.1735794942951,22.214891988939,"Spain total","ES"
2020-09-14,10699,47450795,22.547567432748,22.5668355127514,"Spain total","ES"
2020-09-15,12292,47450795,25.9047293095932,22.8423088440502,"Spain total","ES"
2020-09-16,12016,47450795,25.3230741444901,22.9136609528129,"Spain total","ES"
2020-09-17,11487,47450795,24.2082350780424,22.9196822278139,"Spain total","ES"
2020-09-18,14096,47450795,29.7065623452673,23.5332501504227,"Spain total","ES"
2020-09-19,8552,47450795,18.0228803331957,23.269518305376,"Spain total","ES"
2020-09-20,7344,47450795,15.4770852627443,23.027161986583,"Spain total","ES"
2020-09-21,9900,47450795,20.8637178786994,22.7866120502904,"Spain total","ES"
2020-09-22,12353,47450795,26.033283530866,22.8049769390436,"Spain total","ES"
2020-09-23,11582,47450795,24.4084424718279,22.6743152715204,"Spain total","ES"
2020-09-24,11164,47450795,23.5275299391717,22.5770716802532,"Spain total","ES"
2020-09-25,11811,47450795,24.8910476631635,21.8891410113812,"Spain total","ES"
2020-09-26,7852,47450795,16.5476679579341,21.6783963863438,"Spain total","ES"
2020-09-27,6387,47450795,13.4602592011367,21.3902783775428,"Spain total","ES"
2020-09-28,9244,47450795,19.4812331384543,21.1927805575077,"Spain total","ES"
2020-09-29,10651,47450795,22.44641001273,20.6803700549169,"Spain total","ES"
2020-09-30,10018,47450795,21.1123965362435,20.2095063498334,"Spain total","ES"
2020-10-01,10627,47450795,22.3958313027211,20.0478351160547,"Spain total","ES"
2020-10-02,10987,47450795,23.1545119528556,19.7997585860107,"Spain total","ES"
2020-10-03,8101,47450795,17.0724220742772,19.874723459774,"Spain total","ES"
2020-10-04,7435,47450795,15.6688628715283,20.19023826983,"Spain total","ES"
2020-10-05,11137,47450795,23.4706288904116,20.760151948681,"Spain total","ES"
2020-10-06,12615,47450795,26.5854344484639,21.3514411537859,"Spain total","ES"
2020-10-07,12267,47450795,25.8520431533339,22.0285335276559,"Spain total","ES"
2020-10-08,12564,47450795,26.4779546896949,22.6116940115093,"Spain total","ES"
2020-10-09,13395,47450795,28.2292425237554,23.3366555216379,"Spain total","ES"
2020-10-10,10891,47450795,22.9521971128197,24.1766233842868,"Spain total","ES"
