"ORIGEN","DESTINO","O_D","Nombre_Zona_origin","NUTS_CNTR_CODE_origin","NUTS_ID_origin","Nombre_Zona_destination","NUTS_CNTR_CODE_destination","NUTS_ID_destination","xcoord_origin","ycoord_origin","xcoord_destination","ycoord_destination","mode","counts"
"ES01","ES18","ES01_ES18","Araba/Alava","ES","ES211","Granada","ES","ES614",-2.68598435098573,42.8695986935993,-3.23676871321909,37.3061542425598,"car",18818
"ES01","ES18","ES01_ES18","Araba/Alava","ES","ES211","Granada","ES","ES614",-2.68598435098573,42.8695986935993,-3.23676871321909,37.3061542425598,"bus",0
"ES01","ES18","ES01_ES18","Araba/Alava","ES","ES211","Granada","ES","ES614",-2.68598435098573,42.8695986935993,-3.23676871321909,37.3061542425598,"train",0
"ES01","ES18","ES01_ES18","Araba/Alava","ES","ES211","Granada","ES","ES614",-2.68598435098573,42.8695986935993,-3.23676871321909,37.3061542425598,"plane",0
"ES01","ES18","ES01_ES18","Araba/Alava","ES","ES211","Granada","ES","ES614",-2.68598435098573,42.8695986935993,-3.23676871321909,37.3061542425598,"ferry",0
"ES01","ES18","ES01_ES18","Araba/Alava","ES","ES211","Granada","ES","ES614",-2.68598435098573,42.8695986935993,-3.23676871321909,37.3061542425598,"all trips",18818
"ES01","ES19","ES01_ES19","Araba/Alava","ES","ES211","Guadalajara","ES","ES424",-2.68598435098573,42.8695986935993,-2.62752702108517,40.8216329369335,"car",97398
"ES01","ES19","ES01_ES19","Araba/Alava","ES","ES211","Guadalajara","ES","ES424",-2.68598435098573,42.8695986935993,-2.62752702108517,40.8216329369335,"bus",0
"ES01","ES19","ES01_ES19","Araba/Alava","ES","ES211","Guadalajara","ES","ES424",-2.68598435098573,42.8695986935993,-2.62752702108517,40.8216329369335,"train",0
"ES01","ES19","ES01_ES19","Araba/Alava","ES","ES211","Guadalajara","ES","ES424",-2.68598435098573,42.8695986935993,-2.62752702108517,40.8216329369335,"plane",0
"ES01","ES19","ES01_ES19","Araba/Alava","ES","ES211","Guadalajara","ES","ES424",-2.68598435098573,42.8695986935993,-2.62752702108517,40.8216329369335,"ferry",0
"ES01","ES19","ES01_ES19","Araba/Alava","ES","ES211","Guadalajara","ES","ES424",-2.68598435098573,42.8695986935993,-2.62752702108517,40.8216329369335,"all trips",97398
"ES01","ES20","ES01_ES20","Araba/Alava","ES","ES211","Gipuzkoa","ES","ES212",-2.68598435098573,42.8695986935993,-2.18941249097079,43.1723907041975,"car",1703880
"ES01","ES20","ES01_ES20","Araba/Alava","ES","ES211","Gipuzkoa","ES","ES212",-2.68598435098573,42.8695986935993,-2.18941249097079,43.1723907041975,"bus",65482
"ES01","ES20","ES01_ES20","Araba/Alava","ES","ES211","Gipuzkoa","ES","ES212",-2.68598435098573,42.8695986935993,-2.18941249097079,43.1723907041975,"train",83451
"ES01","ES20","ES01_ES20","Araba/Alava","ES","ES211","Gipuzkoa","ES","ES212",-2.68598435098573,42.8695986935993,-2.18941249097079,43.1723907041975,"plane",0
"ES01","ES20","ES01_ES20","Araba/Alava","ES","ES211","Gipuzkoa","ES","ES212",-2.68598435098573,42.8695986935993,-2.18941249097079,43.1723907041975,"ferry",0
"ES01","ES20","ES01_ES20","Araba/Alava","ES","ES211","Gipuzkoa","ES","ES212",-2.68598435098573,42.8695986935993,-2.18941249097079,43.1723907041975,"all trips",1852813
"ES01","ES21","ES01_ES21","Araba/Alava","ES","ES211","Huelva","ES","ES615",-2.68598435098573,42.8695986935993,-6.85535225332458,37.5591594299634,"car",5485
"ES01","ES21","ES01_ES21","Araba/Alava","ES","ES211","Huelva","ES","ES615",-2.68598435098573,42.8695986935993,-6.85535225332458,37.5591594299634,"bus",0
"ES01","ES21","ES01_ES21","Araba/Alava","ES","ES211","Huelva","ES","ES615",-2.68598435098573,42.8695986935993,-6.85535225332458,37.5591594299634,"train",0
"ES01","ES21","ES01_ES21","Araba/Alava","ES","ES211","Huelva","ES","ES615",-2.68598435098573,42.8695986935993,-6.85535225332458,37.5591594299634,"plane",0
"ES01","ES21","ES01_ES21","Araba/Alava","ES","ES211","Huelva","ES","ES615",-2.68598435098573,42.8695986935993,-6.85535225332458,37.5591594299634,"ferry",0
"ES01","ES21","ES01_ES21","Araba/Alava","ES","ES211","Huelva","ES","ES615",-2.68598435098573,42.8695986935993,-6.85535225332458,37.5591594299634,"all trips",5485
"ES01","ES22","ES01_ES22","Araba/Alava","ES","ES211","Huesca","ES","ES241",-2.68598435098573,42.8695986935993,-0.0879506146236791,42.2336832772921,"car",103275
